Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
135,2017-10-05,ALDS,1,BOS,HOU,L 2-8,35,32,2,8,2,0,0,2,2,0,6,0,0,1,0,1,0,0,-0.118,-2.369,.824,6,10,"43,102",206
136,2017-10-05,ALDS,1,CLE,NYY,W 4-0,35,27,4,5,1,0,1,3,6,1,9,1,0,1,0,1,0,0,0.100,-0.563,.681,7,11,"37,612",206
137,2017-10-05,ALDS,1,HOU,BOS,W 8-2,36,34,8,12,3,0,4,8,2,0,8,0,0,0,0,1,0,1,0.382,4.117,.602,4,10,"43,102",206
138,2017-10-05,ALDS,1,NYY,CLE,L 0-4,33,30,0,3,1,0,0,0,3,0,14,0,0,0,0,1,0,0,-0.398,-5.132,.626,6,9,"37,612",206
139,2017-10-04,NLWC,1,ARI,COL,W 11-8,45,41,11,17,1,4,2,11,4,2,11,0,0,0,0,0,0,0,0.468,6.570,.704,10,15,"48,803",234
140,2017-10-04,NLWC,1,COL,ARI,L 8-11,40,38,8,13,3,0,2,8,1,0,6,0,1,0,0,1,0,0,-0.034,3.017,.918,5,20,"48,803",234
141,2017-10-03,ALWC,1,MIN,NYY,L 4-8,39,35,4,9,1,0,2,4,4,0,13,0,0,0,0,1,1,0,-0.042,-0.943,.977,8,12,"49,280",231
142,2017-10-03,ALWC,1,NYY,MIN,W 8-4,38,33,8,9,1,0,3,8,5,1,5,0,0,0,0,0,0,0,0.458,3.607,.659,6,9,"49,280",231
143,2016-11-02,WS,7,CHC,CLE,W 8-7,45,39,8,13,2,0,3,8,4,2,5,1,0,1,0,1,2,1,0.512,2.462,1.307,7,13,"38,104",268
144,2016-11-02,WS,7,CLE,CHC,L 7-8,44,40,7,11,2,0,1,5,3,0,9,0,1,0,1,1,0,0,0.013,1.463,1.191,7,13,"38,104",268
